CGPA,Communication,Aptitude,Projects,Internships,Attendance,Coding,Certifications,Backlogs,College_Tier,Branch,Placed
9.04,2,42,1,3,88,24,7,5,1,CSE,1
6.52,7,81,3,1,77,81,7,4,1,ME,1
5.49,9,69,6,2,76,85,4,3,2,CSE,1
8.42,2,73,0,1,77,30,7,3,1,EE,1
7.2,6,88,1,3,78,77,7,3,3,IT,1
5.61,9,46,2,1,69,30,0,5,1,EE,0
7.48,1,61,1,0,80,95,2,2,1,IT,1
5.17,2,58,0,1,56,39,4,2,3,EE,0
9.55,4,33,1,3,60,66,3,1,3,CE,1
6.29,8,59,0,3,89,22,3,0,1,CE,1
8.31,2,70,5,0,84,99,1,0,3,CSE,1
6.56,6,58,2,1,74,78,6,3,1,CE,1
7.6,7,30,1,3,80,63,4,1,1,IT,1
7.73,6,64,6,1,93,25,8,4,2,CE,1
5.92,9,68,4,0,55,90,4,4,1,ME,1
9.85,8,65,5,2,56,71,8,5,3,CE,1
8.88,2,36,1,0,59,35,2,0,3,ECE,1
9.7,1,31,1,0,85,31,6,4,1,CSE,0
9.47,6,70,4,2,56,56,2,1,2,ECE,1
7.99,1,37,2,2,95,91,2,5,1,ME,1
9.61,1,78,5,1,56,32,1,5,1,IT,1
5.44,4,73,0,1,80,96,1,1,2,ECE,1
5.98,8,67,5,0,74,76,2,0,2,ECE,1
5.23,8,46,3,0,94,38,5,4,1,IT,0
6.63,9,79,5,1,60,57,6,0,2,CSE,1
6.94,1,63,3,3,73,67,5,0,2,ECE,1
6.36,2,84,3,2,99,88,2,4,1,ME,1
9.14,3,42,3,0,71,83,7,5,1,ECE,1
6.78,9,51,5,1,83,96,8,1,2,IT,1
6.4,3,63,3,0,75,85,8,3,1,ME,1
7.71,2,60,6,0,66,77,5,2,3,CE,1
5.7,4,87,5,1,56,90,8,5,2,ME,1
9.01,6,93,3,1,86,61,0,0,2,CE,1
5.37,6,37,6,1,97,93,7,5,3,CSE,1
9.93,2,59,6,3,78,23,2,0,2,CE,1
8.86,10,55,5,2,82,74,4,5,1,EE,1
5.99,3,64,3,0,74,60,3,3,1,CSE,0
5.03,1,41,6,3,100,99,2,5,2,CE,1
9.08,4,52,4,1,91,100,7,1,3,CSE,1
8.53,7,84,3,1,67,42,8,5,2,EE,1
8.65,7,41,1,0,89,80,8,2,2,IT,1
8.86,1,72,0,2,81,94,6,3,2,CE,1
5.37,5,95,6,2,87,85,2,2,1,CE,1
6.79,9,74,6,0,65,91,6,5,1,CSE,1
5.58,8,97,0,2,83,50,1,4,1,CSE,1
9.32,4,72,4,3,86,88,2,0,2,ECE,1
8.12,10,48,2,3,59,28,8,5,3,CSE,1
6.65,4,39,6,1,87,47,2,4,2,IT,1
5.32,4,75,2,2,66,76,5,0,1,CE,1
6.55,4,89,5,0,68,36,6,3,2,ECE,1
6.63,1,51,4,2,87,51,5,4,2,ECE,1
8.65,10,66,3,2,92,92,2,0,2,IT,1
8.19,9,95,3,1,78,49,1,2,2,ECE,1
9.44,9,32,3,2,99,76,0,5,2,EE,1
7.36,6,37,3,1,65,50,3,3,2,CSE,1
5.6,8,74,2,2,96,23,3,0,2,ME,1
8.57,3,90,0,3,94,20,6,0,3,EE,1
8.8,9,89,4,2,65,20,8,1,2,CSE,1
7.81,6,36,1,2,57,78,4,5,2,EE,1
8.85,7,31,3,3,93,60,0,5,2,IT,1
7.47,3,42,1,0,72,73,0,1,3,ECE,0
7.61,7,37,3,3,73,70,8,0,3,ECE,1
7.14,9,73,4,0,77,60,1,1,2,CE,1
5.13,3,68,6,0,80,86,0,1,3,IT,1
5.54,7,66,3,1,62,52,7,4,2,EE,1
5.16,9,42,0,2,63,45,0,0,2,CSE,1
8.18,10,99,0,2,90,28,4,1,3,ECE,1
6.57,3,82,6,3,95,58,2,2,1,IT,1
7.54,4,91,3,2,56,49,1,1,1,ECE,1
9.54,3,64,1,2,55,57,5,2,1,IT,1
6.25,6,66,3,3,89,73,3,0,3,CSE,1
7.05,8,76,3,3,97,58,1,4,1,ME,1
8.78,8,57,2,2,98,27,2,3,2,ME,1
6.14,7,39,3,1,88,88,8,1,2,ME,1
5.38,3,49,4,3,78,43,3,5,3,CSE,0
6.45,6,37,4,1,79,46,8,0,3,EE,1
5.81,4,35,0,1,93,49,8,4,3,IT,0
9.65,1,67,2,3,74,64,3,4,1,ME,1
9.04,5,79,3,1,75,40,1,2,3,EE,1
8.17,4,81,5,3,74,27,0,4,2,CE,1
9.36,4,74,3,0,59,94,4,0,1,CE,1
9.02,7,54,0,1,55,45,7,1,3,CE,1
5.93,6,44,0,0,97,94,7,3,1,IT,1
9.46,10,82,5,0,96,26,5,1,3,CE,1
7.7,7,40,4,3,88,34,1,3,2,ECE,1
9.04,6,92,5,3,87,49,6,5,3,EE,1
9.48,9,49,3,1,80,38,3,1,2,CSE,1
6.59,2,32,1,0,88,31,2,5,1,CE,0
5.55,9,56,6,0,62,30,5,1,1,CE,1
6.14,4,76,6,1,89,41,0,3,1,ME,1
7.14,10,93,5,0,68,89,5,5,1,CSE,1
9.09,1,92,1,0,61,34,6,5,3,ECE,0
9.3,2,31,6,1,64,100,1,4,3,ECE,1
5.03,10,52,6,1,85,79,6,3,3,CSE,1
7.55,5,77,0,1,73,49,7,3,2,IT,1
7.09,1,30,0,1,84,26,1,3,3,IT,0
6.11,7,36,4,2,70,26,6,5,1,EE,1
5.6,10,40,6,2,59,32,2,2,2,CE,1
6.69,4,84,6,1,66,80,3,3,2,ME,1
9.71,2,34,2,0,58,90,3,3,1,ME,1
6.62,8,73,1,0,92,35,3,1,3,IT,1
7.59,7,89,4,1,98,97,8,4,2,ME,1
8.52,10,100,6,2,85,43,5,1,2,EE,1
6.82,3,93,6,2,83,73,8,3,2,ME,1
9.86,2,45,1,2,92,51,2,1,3,ME,1
9.81,4,89,4,3,73,56,6,0,2,CSE,1
6.26,2,93,0,3,89,70,1,3,3,IT,1
7.49,3,44,5,0,56,20,3,3,2,CE,0
6.5,8,66,3,2,64,82,7,3,2,CE,1
6.42,9,66,3,2,74,66,2,0,1,ME,1
5.18,10,57,2,0,91,98,4,3,2,ME,1
8.05,2,49,0,0,88,56,5,1,3,IT,1
7.51,6,88,6,0,94,47,7,5,2,ECE,1
5.26,2,89,2,1,69,46,8,4,1,CSE,1
6.39,3,65,4,1,69,48,5,2,1,ECE,1
9.54,2,73,3,1,88,93,4,4,2,ME,1
6.2,8,58,2,1,98,76,8,4,2,EE,1
5.72,10,68,1,1,56,62,1,2,3,CE,1
7.45,9,84,0,0,95,83,3,0,2,CSE,1
9.93,4,97,5,3,72,23,0,1,3,ECE,1
6.21,7,50,3,2,58,91,3,2,2,CSE,1
8.36,5,58,0,1,92,77,1,0,3,ECE,1
8.81,4,60,3,0,75,87,2,0,3,CE,1
6.19,4,64,5,1,79,22,0,4,1,CE,0
8.64,1,68,3,0,98,22,6,3,1,ECE,1
6.84,3,66,5,3,99,54,2,3,1,ECE,1
8.16,4,30,1,1,63,75,2,2,2,EE,1
8.17,9,72,3,0,67,98,1,2,3,ME,1
7.68,4,51,1,2,61,64,3,4,3,EE,0
5.45,10,46,5,0,59,48,8,5,3,CSE,1
9.18,3,84,1,1,69,89,2,3,1,ME,1
6.6,2,30,2,2,79,58,0,2,2,ME,0
5.93,7,99,5,2,93,48,4,0,1,CE,1
5.2,8,100,6,2,96,40,5,2,2,IT,1
7.95,3,96,2,2,73,69,4,4,3,EE,1
8.39,7,52,0,2,59,93,1,4,2,CE,1
5.08,6,61,2,3,82,63,5,0,1,IT,1
7.56,3,75,3,2,98,55,0,4,2,ME,1
6.13,7,84,5,0,74,71,5,2,1,IT,1
8.23,7,32,4,2,58,88,1,1,1,CE,1
5.87,9,76,1,2,61,94,2,0,2,EE,1
8.45,4,82,0,3,56,74,6,2,1,CSE,1
6.93,4,38,2,3,84,77,8,0,3,EE,1
9.68,7,31,1,1,77,54,0,0,1,CE,1
5.69,3,97,4,3,88,64,8,5,3,IT,1
6.71,7,66,2,2,65,54,3,2,2,IT,1
5.57,7,86,3,3,75,87,6,5,3,ME,1
9.62,4,51,5,0,70,79,4,0,3,ME,1
9.39,10,98,3,1,85,49,2,4,1,EE,1
6.29,3,36,0,1,56,95,4,0,3,EE,1
8.3,1,50,1,1,88,20,5,4,1,IT,0
9.09,5,31,2,0,63,43,2,3,3,CE,0
7.78,2,42,5,3,90,55,4,4,1,CE,1
7.65,7,51,4,2,100,77,2,1,3,EE,1
6.21,5,57,3,0,58,70,4,0,1,CE,1
5.47,9,40,1,1,60,49,0,5,2,ME,0
9.49,8,68,0,0,94,93,7,2,2,CSE,1
9.5,1,90,3,2,58,25,6,2,3,CE,1
8.17,1,89,5,2,95,48,1,3,3,ME,1
6.7,9,34,0,3,82,71,3,0,3,CSE,1
6.75,3,76,6,2,67,94,7,4,2,CE,1
8.63,8,59,3,3,84,83,1,1,2,ME,1
9.49,8,96,6,2,74,66,3,5,2,ECE,1
9.44,10,78,0,2,66,90,4,5,3,ECE,1
8.9,6,36,4,2,66,39,4,4,3,ECE,1
8.21,6,61,3,2,99,97,8,5,3,IT,1
5.42,2,45,0,3,58,92,6,0,3,ME,1
5.81,8,44,0,1,93,49,6,5,2,EE,0
9.49,6,47,2,1,91,100,3,1,1,CE,1
8.03,8,31,4,0,85,29,7,1,2,CE,1
5.05,1,44,6,3,97,80,8,1,1,CE,1
5.51,9,71,4,2,70,40,1,1,1,CSE,1
8.32,6,62,1,1,64,65,4,5,1,ECE,1
5.03,10,84,1,2,98,93,2,2,1,CE,1
5.8,9,40,2,1,97,88,0,4,3,IT,0
7.74,3,54,0,3,60,24,1,3,1,ECE,1
8.46,1,46,5,3,78,59,3,5,2,EE,1
8.26,4,69,6,2,66,98,8,0,2,EE,1
6.12,7,35,5,3,66,97,0,4,3,ECE,1
8.56,1,90,2,1,96,29,2,0,1,EE,1
6.19,1,63,2,1,98,35,8,1,3,ECE,1
6.63,6,89,6,0,89,24,6,4,3,EE,1
8.73,7,46,2,1,76,44,8,2,1,CE,1
8.25,2,51,0,2,57,51,2,0,3,ECE,1
9.25,2,99,1,1,68,22,2,4,2,EE,1
8.29,5,91,3,0,59,72,6,1,1,ECE,1
7.84,7,86,1,0,95,50,3,1,1,ECE,1
5.47,4,35,6,2,92,54,3,1,3,IT,1
6.84,5,57,2,3,79,75,5,3,1,CE,1
6.33,4,62,4,3,85,61,3,5,1,EE,1
6.22,1,88,1,1,96,64,3,0,2,IT,1
9.87,8,46,0,0,93,25,4,1,3,ECE,1
6.97,1,34,4,1,66,75,5,0,2,ME,1
9.46,4,53,3,1,75,58,1,2,3,ECE,1
8.16,1,87,3,0,76,100,4,1,1,ME,1
8.97,10,46,6,0,71,57,7,2,2,EE,1
7.51,3,38,3,1,58,62,1,1,1,ECE,1
7.88,5,31,5,1,94,52,7,5,1,CSE,1
7.46,1,96,2,2,80,53,4,2,1,ECE,1
5.98,3,100,6,2,58,87,4,2,1,ECE,1
8.61,4,73,2,1,59,52,2,5,3,IT,0
6.4,5,51,0,2,74,54,2,0,1,ECE,1
5.12,2,75,0,0,69,98,1,0,1,IT,1
8.23,8,64,0,2,58,34,0,1,1,ECE,1
5.89,4,41,1,2,82,96,6,2,2,ME,1
9.7,2,67,4,1,61,90,8,0,3,ME,1
9.77,7,79,5,2,88,79,1,5,1,ME,1
9.57,4,74,5,0,64,21,4,3,2,CSE,1
6.85,10,99,2,2,86,47,8,2,3,IT,1
5.08,8,38,2,0,90,42,7,4,3,CSE,0
9.64,2,98,0,0,68,63,5,0,3,ME,1
7.14,10,40,3,2,72,40,2,0,3,IT,1
9.83,1,49,0,0,71,70,6,5,3,CE,0
9.82,3,31,6,1,63,83,1,1,1,CE,1
9.27,10,46,3,3,85,42,5,4,3,CSE,1
6.47,9,96,2,3,99,51,7,2,2,IT,1
6.93,8,79,6,2,93,66,2,1,1,CE,1
9.26,1,95,3,2,90,95,6,2,1,EE,1
6.58,7,76,1,3,71,55,1,0,1,IT,1
5.85,1,58,3,3,66,62,4,3,3,EE,1
7.78,4,75,3,2,67,36,7,5,1,CE,1
9.68,3,46,6,1,67,60,3,4,2,ECE,1
8.48,8,52,1,0,68,39,7,4,2,ME,1
7.85,4,34,5,3,61,49,7,4,2,EE,1
5.49,7,47,3,3,56,85,4,5,2,CE,1
8.08,6,72,5,1,57,72,6,3,2,CSE,1
9.95,1,70,6,2,64,35,1,5,2,EE,1
5.7,2,92,6,1,76,34,7,3,1,CE,1
7.59,7,54,6,1,91,48,4,1,1,ME,1
9.39,2,45,4,3,94,30,3,3,1,EE,1
8.7,8,51,6,1,93,66,3,4,3,ECE,1
8.49,9,43,6,3,66,52,3,3,3,IT,1
8.51,5,53,5,2,83,20,1,2,1,ECE,1
6.8,2,51,3,2,96,42,8,5,2,ECE,1
6.47,7,34,4,3,79,62,4,3,2,CE,1
9.05,5,99,4,2,55,41,0,1,2,ME,1
9.05,8,57,3,2,89,71,0,2,2,EE,1
9.34,7,81,0,2,68,99,3,0,3,ECE,1
9.57,9,82,4,2,64,59,5,2,1,ME,1
7.56,6,95,6,3,98,56,5,1,1,CSE,1
7.51,1,61,1,1,78,20,5,2,2,IT,1
8.99,3,63,3,0,77,100,0,3,1,CSE,1
8.25,3,51,2,1,100,90,8,2,2,IT,1
8.51,3,31,4,3,65,51,6,4,2,ME,1
8.98,4,34,2,3,72,96,1,4,1,ME,1
9.45,2,40,3,3,57,41,7,4,1,EE,1
6.69,5,64,2,3,69,81,6,4,3,CSE,1
6.88,8,53,2,3,75,63,2,0,2,ME,1
5.47,5,86,2,3,88,46,6,1,3,ME,1
7.89,3,85,0,3,100,51,5,2,2,EE,1
5.18,10,67,5,2,83,50,7,5,3,CE,1
7.33,10,90,2,3,85,75,7,4,1,ME,1
7.71,10,49,4,3,98,21,1,3,3,CSE,1
6.43,10,46,4,2,59,74,6,1,2,CE,1
7.95,3,87,5,3,90,74,2,2,1,CSE,1
5.15,7,60,4,3,66,55,6,0,2,CSE,1
5.19,5,68,3,2,79,75,0,1,3,EE,1
9.11,4,65,4,0,83,100,5,0,3,CSE,1
6.8,9,90,4,0,98,45,4,4,2,EE,1
5.64,9,82,2,0,65,80,0,2,2,ECE,1
7.61,5,77,3,3,71,20,8,3,3,CSE,1
8.85,10,38,5,2,81,53,7,2,1,ECE,1
6.08,8,91,4,1,71,43,2,4,2,EE,1
8.11,2,69,1,1,70,39,6,5,3,IT,0
5.43,4,92,6,2,97,97,5,2,3,CSE,1
5.26,8,46,1,2,58,60,2,1,3,ME,1
7.66,4,82,3,3,59,67,8,3,3,ME,1
7.7,8,50,3,1,72,40,6,3,3,EE,1
8.19,1,88,3,2,77,92,0,1,1,ECE,1
8.63,8,35,1,2,59,95,6,4,2,IT,1
9.88,5,63,2,2,83,60,6,1,1,CSE,1
7.58,1,42,5,3,55,100,1,2,3,ME,1
6.61,10,44,6,1,55,61,6,2,3,CSE,1
8.98,6,93,1,2,99,96,7,4,1,EE,1
6.35,3,68,3,0,61,57,1,3,2,ECE,0
7.19,3,71,4,1,96,79,5,0,2,ME,1
5.39,3,81,5,1,92,87,6,5,3,CE,1
5.13,7,39,3,3,96,39,3,4,3,CE,0
9.81,6,74,3,2,84,86,5,1,2,ECE,1
9.18,8,56,5,2,56,72,7,5,2,ECE,1
8.48,10,70,1,1,81,29,4,0,1,IT,1
7.04,7,75,5,1,100,95,8,4,1,CE,1
5.87,3,52,0,2,80,26,0,3,2,CSE,0
5.78,9,80,5,0,75,95,2,5,2,EE,1
6.25,9,100,2,2,73,73,6,2,1,CSE,1
7.75,1,36,6,3,64,69,2,5,2,ECE,1
8.57,10,84,3,2,94,84,1,0,1,EE,1
8.3,3,95,0,1,78,66,3,4,2,CE,1
6.4,8,31,1,1,68,21,2,0,3,ME,1
9.77,9,38,2,2,59,46,1,3,1,EE,1
8.69,1,94,4,2,88,39,3,2,3,IT,1
7.77,3,89,4,1,84,99,6,4,1,CSE,1
8.06,2,53,2,3,58,64,8,5,1,CE,1
7.1,10,51,1,2,67,61,5,2,3,CSE,1
6.24,9,41,4,0,56,44,0,5,2,CSE,0
6.78,6,80,4,0,69,31,3,3,1,CSE,1
8.79,6,43,6,2,58,62,3,3,2,ME,1
5.07,4,76,2,3,95,23,3,1,1,EE,1
5.58,2,39,2,2,96,58,7,3,2,IT,1
5.23,1,37,2,1,95,22,7,4,3,ME,0
5.2,3,55,3,3,79,83,7,1,3,EE,1
9.28,2,63,0,0,97,28,6,3,3,ECE,1
8.52,3,41,3,2,82,34,2,5,1,CSE,1
7.37,9,87,3,0,67,67,7,4,3,ECE,1
5.49,8,96,0,2,63,94,5,1,3,ME,1
7.46,4,41,4,2,89,86,5,5,2,IT,1
7.37,1,68,5,1,83,54,6,4,1,IT,1
5.87,2,94,5,2,99,96,1,2,3,ME,1
7.17,7,72,0,1,93,55,1,3,2,EE,1
6.99,3,64,6,3,78,87,0,4,3,ECE,1
8.08,6,39,2,0,58,21,0,3,1,EE,0
8.18,3,43,3,2,77,68,5,2,1,EE,1
5.23,2,45,0,2,57,96,6,4,3,ECE,0
6.87,9,35,2,0,82,54,6,2,3,EE,1
8.13,1,51,5,1,88,39,1,4,1,CSE,1
7.52,6,79,6,1,68,60,8,4,3,IT,1
9.28,6,47,5,0,80,99,8,5,2,CE,1
8.29,6,84,0,2,74,92,5,5,1,CE,1
5.81,6,69,1,1,76,47,4,5,3,EE,0
5.35,9,88,5,1,92,70,3,3,1,IT,1
8.21,7,30,3,3,79,63,6,2,1,IT,1
5.13,3,62,2,2,66,76,0,5,3,CSE,0
7.93,3,49,1,3,69,84,3,5,2,CE,1
9.7,5,37,3,2,58,20,2,3,3,CSE,1
7.88,2,49,1,2,75,90,8,0,2,CE,1
6.94,4,69,1,0,60,45,5,5,1,CE,0
8.22,5,52,0,2,63,60,7,3,2,CSE,1
7.29,3,82,6,0,56,36,1,0,2,CE,1
7.73,9,51,2,0,57,92,5,2,2,CE,1
9.71,3,86,5,2,65,20,1,1,1,CSE,1
6.93,3,84,1,0,93,100,1,4,3,ME,0
9.81,6,43,2,2,86,94,1,4,1,EE,1
9.53,10,30,0,1,75,53,6,5,1,ECE,1
5.98,9,87,0,1,85,27,8,1,3,CE,1
5.35,1,96,0,0,98,68,3,5,3,IT,0
5.5,4,81,1,3,87,45,0,3,3,CE,0
5.09,1,32,2,3,96,92,0,2,2,EE,0
5.47,6,44,2,0,77,27,2,3,1,ECE,0
8.42,9,92,3,3,78,83,0,4,2,CE,1
5.36,8,76,6,2,96,54,1,3,2,IT,1
6.59,6,57,5,2,97,52,0,1,1,CSE,1
9.22,10,73,6,1,66,71,4,3,1,CE,1
5.12,6,79,5,2,60,28,5,1,1,IT,1
9.07,9,65,5,2,82,24,1,3,1,ECE,1
6.41,5,51,4,2,62,81,4,1,3,IT,1
5.59,1,90,1,0,62,96,4,3,1,IT,0
8.48,5,54,4,2,85,82,2,4,2,IT,1
8.14,8,67,1,1,84,38,4,4,3,IT,1
9.39,9,59,6,0,96,59,5,3,2,EE,1
8.68,7,71,1,3,67,44,7,3,2,IT,1
9.02,8,91,0,0,95,77,4,5,2,IT,1
6.41,5,48,2,0,92,82,2,1,2,ME,1
5.89,9,77,0,2,96,26,3,0,1,ME,1
8.75,2,31,5,0,72,65,7,1,2,CE,1
9.03,6,90,6,0,58,73,0,3,2,CSE,1
9.95,3,52,6,0,72,77,5,2,1,CE,1
7.06,5,31,1,3,79,47,2,2,2,ME,1
6.86,6,43,1,3,89,50,8,4,2,CE,1
8.88,1,58,6,0,80,34,5,5,1,ECE,1
6.7,9,60,1,1,92,97,7,0,1,CSE,1
9.65,2,47,6,3,89,87,6,1,3,ME,1
9.29,5,58,1,0,58,91,7,1,2,ECE,1
7.14,8,67,0,3,57,43,1,5,2,ECE,1
8.75,7,78,6,1,56,63,5,0,2,CE,1
8.77,10,35,5,1,64,71,1,1,3,CE,1
5.52,8,99,4,1,95,41,1,5,1,ECE,1
9.51,10,87,4,0,66,77,8,4,3,IT,1
7.53,4,40,2,2,60,49,8,1,2,CE,1
9.13,5,89,1,2,68,87,4,0,3,ECE,1
6.6,5,40,2,3,64,34,6,5,2,IT,0
9.48,8,74,0,2,91,24,3,1,2,ME,1
6.95,8,32,3,1,83,98,2,1,1,EE,1
5.05,5,47,6,3,95,57,4,1,2,ECE,1
9.53,4,96,2,2,73,77,3,5,1,IT,1
5.46,5,57,2,0,86,73,8,3,1,CSE,1
6.6,10,46,3,3,75,78,7,3,2,CSE,1
9.75,8,48,1,2,83,62,4,5,2,CE,1
9.75,10,75,0,1,57,25,2,4,3,EE,1
7.87,10,40,1,1,99,26,7,1,3,IT,1
8.16,1,73,1,3,98,95,0,0,2,ME,1
7.24,6,67,4,2,55,34,5,0,1,CE,1
6.47,7,54,4,1,78,61,4,5,3,CE,1
6.64,6,74,4,3,73,82,2,1,3,ECE,1
8.36,9,35,5,2,90,62,2,2,3,IT,1
8.76,9,78,5,3,62,23,6,5,3,IT,1
8.96,1,65,3,3,84,96,8,0,1,ECE,1
8.95,4,37,0,0,92,64,8,0,1,ECE,1
5.46,5,53,1,0,56,91,7,5,1,CSE,0
7.47,9,61,6,0,85,65,6,1,3,ME,1
5.29,8,52,3,3,88,92,8,4,1,CE,1
7.75,9,39,6,3,65,81,8,5,3,CSE,1
7.21,2,100,2,3,70,54,6,4,3,EE,1
9.44,4,64,1,2,78,49,3,4,1,ME,1
6.75,3,41,2,1,58,58,8,4,2,ME,0
5.59,6,63,1,0,95,68,1,5,3,CSE,0
5.71,9,91,0,1,100,44,4,5,2,CSE,1
8.81,6,42,0,3,81,26,0,2,3,CSE,1
8.09,8,93,0,1,95,58,6,2,2,IT,1
5.51,10,36,1,1,64,61,1,4,1,ECE,0
5.42,2,63,4,0,97,78,2,0,2,ECE,1
8.5,4,66,1,0,92,23,7,0,1,ME,1
5.36,9,67,3,3,55,50,8,3,3,ME,1
9.11,4,75,2,1,94,25,1,5,3,ME,0
8.53,2,73,3,3,73,66,2,1,2,CSE,1
5.41,2,96,5,2,78,32,3,0,1,CE,1
5.42,5,55,6,2,99,22,7,1,2,CSE,1
9.93,6,39,0,2,90,66,6,3,1,CE,1
6.87,3,52,2,1,91,65,0,2,1,CE,1
6.85,5,59,4,0,57,68,5,2,1,CSE,1
9.06,6,38,4,2,96,92,1,4,2,ECE,1
9.74,8,90,1,2,87,89,7,1,2,ECE,1
9.93,6,62,6,0,55,61,1,5,1,CE,1
8.77,5,82,6,1,69,52,2,2,2,ECE,1
6.88,1,37,0,1,74,42,2,0,3,CE,0
5.42,8,79,1,3,75,35,4,5,1,EE,1
8.89,10,45,2,2,88,77,0,3,2,EE,1
7.79,7,87,6,2,65,27,3,4,1,ME,1
7.12,10,37,4,1,87,86,4,0,3,ECE,1
9.53,2,68,0,2,98,35,6,1,2,EE,1
5.56,9,32,4,0,84,72,1,5,2,ECE,0
7.46,3,97,4,2,81,55,8,2,3,ECE,1
5.06,5,67,3,3,58,84,0,1,1,CE,1
7.34,5,74,3,2,62,100,8,0,1,EE,1
5.28,4,57,1,0,63,99,7,0,3,ME,1
5.59,3,86,1,2,88,37,1,0,3,CE,1
5.59,8,64,6,3,88,31,8,1,3,CSE,1
8.25,6,71,6,0,83,100,7,1,1,EE,1
8.73,3,55,4,2,71,56,0,5,2,IT,1
7.92,4,50,5,3,93,45,4,5,2,CE,1
9.81,8,60,0,2,96,30,5,5,3,IT,1
6.87,10,36,1,1,70,47,7,1,1,CSE,1
6.43,6,58,4,0,88,50,2,3,2,ME,1
9.34,1,91,1,2,64,62,6,5,2,ME,1
6.12,10,78,1,2,91,83,8,5,3,IT,1
9.82,6,42,6,3,79,68,2,1,3,CSE,1
5.06,5,86,5,3,59,88,0,3,1,ME,1
9.85,7,93,4,2,93,59,6,0,1,CSE,1
5.22,4,59,1,0,74,32,5,4,1,EE,0
9.46,9,36,4,3,56,22,0,0,3,ME,1
7.64,5,67,6,0,59,77,5,3,2,IT,1
9.96,2,96,0,2,70,63,4,5,2,CE,1
5.37,7,76,3,1,57,35,5,2,1,IT,1
7.77,5,47,0,1,82,32,6,3,3,EE,1
9.85,6,65,2,2,89,88,4,1,1,ME,1
7.62,5,63,3,2,75,71,0,0,1,CSE,1
8.15,4,65,2,2,82,49,1,2,1,CSE,1
8.48,2,35,0,2,80,33,4,0,1,IT,1
7.27,8,92,2,1,80,70,2,1,2,EE,1
8.14,8,59,6,1,84,85,5,2,2,IT,1
7.92,9,66,0,0,87,23,2,5,3,ECE,0
9.51,7,62,5,2,94,48,0,2,1,IT,1
5.23,7,85,6,2,75,34,7,3,3,CSE,1
6.4,6,96,1,1,84,22,5,4,3,CE,1
9.75,10,84,6,2,93,72,5,4,3,IT,1
9.45,2,100,5,0,98,50,1,2,2,ECE,1
7.28,4,30,6,1,96,70,8,0,3,CE,1
8.1,2,58,1,2,97,56,0,5,1,CE,0
6.39,3,57,0,2,78,33,2,5,2,EE,0
5.94,1,80,6,1,60,93,1,3,1,CE,1
7.32,4,72,4,0,90,99,8,5,2,ME,1
6.77,9,75,2,1,100,72,4,2,1,ME,1
7.92,8,99,5,3,97,33,7,3,2,ECE,1
5.39,1,71,1,0,98,51,3,5,3,IT,0
9.87,6,48,0,3,59,46,8,1,1,CE,1
9.93,7,91,6,1,87,58,1,0,1,ECE,1
8.49,3,64,0,3,56,22,2,5,2,ECE,0
7.68,3,37,2,3,85,22,1,3,2,EE,1
6.55,2,58,3,2,98,31,1,4,3,CE,0
9.07,2,75,5,3,62,55,6,3,3,ECE,1
8.42,6,39,2,2,66,91,3,1,1,EE,1
5.81,6,63,3,2,83,68,3,2,3,ME,1
9.55,5,98,3,0,76,27,4,3,2,EE,1
